"flybase_gene_id" "start_position" "end_position" "chromosome_name" "gene_biotype"
"FBgn0000320" "FBgn0000320" 6527447 6546976 "2L" "protein_coding"
"FBgn0000326" "FBgn0000326" 21617061 21619079 "2R" "protein_coding"
"FBgn0000330" "FBgn0000330" 7009006 7011145 "X" "protein_coding"
"FBgn0000337" "FBgn0000337" 7782797 7785067 "2R" "protein_coding"
"FBgn0000339" "FBgn0000339" 16309292 16310726 "2L" "protein_coding"
"FBgn0000346" "FBgn0000346" 13259021 13262488 "X" "protein_coding"
"FBgn0000351" "FBgn0000351" 6674682 6676635 "2L" "protein_coding"
"FBgn0000352" "FBgn0000352" 7382176 7387115 "2R" "protein_coding"
"FBgn0000355" "FBgn0000355" 8728481 8729066 "3L" "protein_coding"
"FBgn0000356" "FBgn0000356" 8731944 8732599 "3L" "protein_coding"
"FBgn0000357" "FBgn0000357" 8726791 8727613 "3L" "protein_coding"
"FBgn0000358" "FBgn0000358" 8729865 8730604 "3L" "protein_coding"
"FBgn0000359" "FBgn0000359" 8479319 8480523 "X" "protein_coding"
"FBgn0000360" "FBgn0000360" 8481837 8483311 "X" "protein_coding"
"FBgn0000370" "FBgn0000370" 21310866 21319527 "2L" "protein_coding"
"FBgn0000376" "FBgn0000376" 2734248 2738773 "X" "protein_coding"
"FBgn0000377" "FBgn0000377" 2247594 2249983 "X" "protein_coding"
"FBgn0000382" "FBgn0000382" 2094234 2115701 "X" "protein_coding"
"FBgn0000384" "FBgn0000384" 22981816 22992951 "2L" "protein_coding"
"FBgn0000392" "FBgn0000392" 6663664 6674780 "2L" "protein_coding"
"FBgn0000394" "FBgn0000394" 5690002 5693084 "X" "protein_coding"
"FBgn0000395" "FBgn0000395" 21355015 21379464 "2R" "protein_coding"
"FBgn0000404" "FBgn0000404" 11826719 11833578 "3L" "protein_coding"
"FBgn0000405" "FBgn0000405" 22803521 22806948 "2R" "protein_coding"
"FBgn0000406" "FBgn0000406" 16788774 16790721 "2L" "protein_coding"
"FBgn0000411" "FBgn0000411" 14175610 14178620 "3L" "protein_coding"
"FBgn0000412" "FBgn0000412" 9238083 9240654 "3R" "protein_coding"
"FBgn0000414" "FBgn0000414" 16712126 16724575 "3L" "protein_coding"
"FBgn0000416" "FBgn0000416" 30883464 30889062 "3R" "protein_coding"
"FBgn0000422" "FBgn0000422" 19116483 19120306 "2L" "protein_coding"
"FBgn0000426" "FBgn0000426" 12183844 12184310 "2R" "protein_coding"
"FBgn0000427" "FBgn0000427" 7867161 7873222 "X" "protein_coding"
"FBgn0000439" "FBgn0000439" 6791836 6802428 "3R" "protein_coding"
"FBgn0000442" "FBgn0000442" 786153 790798 "2L" "protein_coding"
"FBgn0000447" "FBgn0000447" 8651391 8652916 "3R" "protein_coding"
"FBgn0000448" "FBgn0000448" 10203995 10237348 "2R" "protein_coding"
"FBgn0000449" "FBgn0000449" 4062292 4064551 "3L" "protein_coding"
"FBgn0000451" "FBgn0000451" 10190276 10201837 "3L" "protein_coding"
"FBgn0000454" "FBgn0000454" 13782288 13785676 "3R" "protein_coding"
"FBgn0000455" "FBgn0000455" 12411809 12413759 "3R" "protein_coding"
"FBgn0000459" "FBgn0000459" 16210598 16216750 "X" "protein_coding"
"FBgn0000463" "FBgn0000463" 19302731 19326217 "3R" "protein_coding"
"FBgn0000464" "FBgn0000464" 19586623 19732069 "2L" "protein_coding"
"FBgn0000473" "FBgn0000473" 6779749 6781491 "2R" "protein_coding"
"FBgn0000477" "FBgn0000477" 18019375 18021161 "3R" "protein_coding"
"FBgn0000479" "FBgn0000479" 3176440 3343767 "X" "protein_coding"
"FBgn0000482" "FBgn0000482" 1665052 1668451 "X" "protein_coding"
"FBgn0000489" "FBgn0000489" 15925805 15954797 "3L" "protein_coding"
"FBgn0000490" "FBgn0000490" 2428372 2459823 "2L" "protein_coding"
"FBgn0000492" "FBgn0000492" 29556386 29565244 "3R" "protein_coding"
"FBgn0000499" "FBgn0000499" 11355881 11358724 "X" "protein_coding"
"FBgn0000500" "FBgn0000500" 4189692 4190260 "3R" "protein_coding"
"FBgn0000504" "FBgn0000504" 7924323 7967408 "3R" "protein_coding"
"FBgn0000520" "FBgn0000520" 2727698 2730042 "X" "protein_coding"
"FBgn0000524" "FBgn0000524" 6533999 6538575 "X" "protein_coding"
"FBgn0000527" "FBgn0000527" 21229839 21237177 "3R" "protein_coding"
"FBgn0000529" "FBgn0000529" 19765776 19769067 "2L" "protein_coding"
"FBgn0000533" "FBgn0000533" 15328729 15330408 "3R" "protein_coding"
"FBgn0000535" "FBgn0000535" 14955477 15009989 "X" "protein_coding"
"FBgn0000536" "FBgn0000536" 16278328 16285618 "X" "protein_coding"
"FBgn0000541" "FBgn0000541" 233926 246912 "3L" "protein_coding"
"FBgn0000542" "FBgn0000542" 3811698 3857621 "X" "protein_coding"
"FBgn0000543" "FBgn0000543" 2263581 2265857 "3L" "protein_coding"
"FBgn0000546" "FBgn0000546" 6087873 6169087 "2R" "protein_coding"
"FBgn0000547" "FBgn0000547" 4031377 4115749 "2L" "protein_coding"
"FBgn0000551" "FBgn0000551" 21296763 21297803 "3L" "protein_coding"
"FBgn0000552" "FBgn0000552" 6684445 6685157 "3R" "protein_coding"
"FBgn0000557" "FBgn0000557" 31738468 31743306 "3R" "protein_coding"
"FBgn0000559" "FBgn0000559" 21677913 21682164 "2L" "protein_coding"
"FBgn0000560" "FBgn0000560" 21808703 21817600 "3L" "protein_coding"
"FBgn0000562" "FBgn0000562" 23734904 23746829 "2R" "protein_coding"
"FBgn0000564" "FBgn0000564" 17446642 17448858 "3R" "protein_coding"
"FBgn0000565" "FBgn0000565" 15511052 15513202 "3L" "protein_coding"
"FBgn0000566" "FBgn0000566" 18627918 18629395 "2R" "protein_coding"
"FBgn0000567" "FBgn0000567" 17558672 17619325 "3L" "protein_coding"
"FBgn0000568" "FBgn0000568" 17950953 18064696 "3L" "protein_coding"
"FBgn0000575" "FBgn0000575" 749400 753492 "3L" "protein_coding"
"FBgn0000576" "FBgn0000576" 13901853 13904620 "3R" "protein_coding"
"FBgn0000577" "FBgn0000577" 11524006 11528210 "2R" "protein_coding"
"FBgn0000578" "FBgn0000578" 19141632 19163705 "2R" "protein_coding"
"FBgn0000579" "FBgn0000579" 1724768 1729636 "2L" "protein_coding"
"FBgn0000581" "FBgn0000581" 11452043 11465270 "2R" "protein_coding"
"FBgn0000588" "FBgn0000588" 11827204 11829405 "2L" "protein_coding"
"FBgn0000591" "FBgn0000591" 26040240 26041008 "3R" "protein_coding"
"FBgn0000592" "FBgn0000592" 12188818 12190705 "3L" "protein_coding"
"FBgn0000594" "FBgn0000594" 12190733 12192528 "3L" "protein_coding"
"FBgn0000606" "FBgn0000606" 9979319 9980795 "2R" "protein_coding"
"FBgn0000611" "FBgn0000611" 15992468 15996509 "X" "protein_coding"
"FBgn0000615" "FBgn0000615" 20667427 20671083 "2R" "protein_coding"
"FBgn0000617" "FBgn0000617" 17842161 17843348 "X" "protein_coding"
"FBgn0000618" "FBgn0000618" 11576118 11576620 "X" "protein_coding"
"FBgn0000625" "FBgn0000625" 12462537 12468021 "3L" "protein_coding"
"FBgn0000629" "FBgn0000629" 10634575 10638130 "3L" "protein_coding"
"FBgn0000633" "FBgn0000633" 13623044 13749367 "2R" "protein_coding"
"FBgn0000635" "FBgn0000635" 4132887 4206093 "X" "protein_coding"
"FBgn0000636" "FBgn0000636" 18320102 18393441 "2L" "protein_coding"
"FBgn0000639" "FBgn0000639" 14094589 14098053 "3L" "protein_coding"
"FBgn0000640" "FBgn0000640" 9426784 9427917 "2L" "protein_coding"
"FBgn0000644" "FBgn0000644" 3173376 3174474 "X" "protein_coding"
"FBgn0000658" "FBgn0000658" 18232761 18236311 "2R" "protein_coding"
"FBgn0000659" "FBgn0000659" 28580976 28585264 "3R" "protein_coding"
"FBgn0000662" "FBgn0000662" 13819624 13824553 "2R" "protein_coding"
"FBgn0000667" "FBgn0000667" 2023822 2042311 "X" "protein_coding"
"FBgn0000709" "FBgn0000709" 21339741 21345088 "X" "protein_coding"
"FBgn0000711" "FBgn0000711" 10385960 10409817 "X" "protein_coding"
"FBgn0000715" "FBgn0000715" 9906294 9910457 "2R" "protein_coding"
"FBgn0000719" "FBgn0000719" 22824317 22855194 "X" "protein_coding"
"FBgn0000721" "FBgn0000721" 3622074 3656953 "2L" "protein_coding"
"FBgn0000723" "FBgn0000723" 9367603 9394546 "3R" "protein_coding"
"FBgn0000808" "FBgn0000808" 11985154 11987764 "X" "protein_coding"
"FBgn0000810" "FBgn0000810" 2242138 2246041 "X" "protein_coding"
"FBgn0000826" "FBgn0000826" 1356488 1357601 "X" "protein_coding"
"FBgn0000927" "FBgn0000927" 2724286 2726577 "X" "protein_coding"
"FBgn0000928" "FBgn0000928" 2720468 2724158 "X" "protein_coding"
"FBgn0000964" "FBgn0000964" 19464267 19467758 "2L" "protein_coding"
"FBgn0000996" "FBgn0000996" 15376619 15380988 "2R" "protein_coding"
"FBgn0001075" "FBgn0001075" 4198404 4221796 "2L" "protein_coding"
"FBgn0001077" "FBgn0001077" 6864324 6866244 "3R" "protein_coding"
"FBgn0001078" "FBgn0001078" 18750607 18801309 "3L" "protein_coding"
"FBgn0001079" "FBgn0001079" 18657755 18661204 "X" "protein_coding"
"FBgn0001083" "FBgn0001083" 11992915 12003914 "X" "protein_coding"
"FBgn0001084" "FBgn0001084" 8401476 8403280 "2L" "protein_coding"
"FBgn0001085" "FBgn0001085" 14274343 14368639 "3L" "protein_coding"
"FBgn0001086" "FBgn0001086" 16310956 16313097 "2L" "protein_coding"
"FBgn0001087" "FBgn0001087" 13727204 13736278 "X" "protein_coding"
"FBgn0001089" "FBgn0001089" 6003574 6006827 "2L" "protein_coding"
"FBgn0001090" "FBgn0001090" 18794246 18797687 "X" "protein_coding"
"FBgn0001091" "FBgn0001091" 7791901 7793380 "2R" "protein_coding"
"FBgn0001092" "FBgn0001092" 15868145 15869661 "X" "protein_coding"
"FBgn0001098" "FBgn0001098" 23935958 23943101 "3R" "protein_coding"
"FBgn0001099" "FBgn0001099" 15509445 15511047 "3L" "protein_coding"
"FBgn0001104" "FBgn0001104" 6972750 6980044 "3L" "protein_coding"
"FBgn0001105" "FBgn0001105" 15860115 15866175 "X" "protein_coding"
"FBgn0001108" "FBgn0001108" 13929387 13934656 "3L" "protein_coding"
"FBgn0001112" "FBgn0001112" 7252063 7265703 "3R" "protein_coding"
"FBgn0001114" "FBgn0001114" 8672698 8676804 "2L" "protein_coding"
"FBgn0001120" "FBgn0001120" 14802380 14803360 "3L" "protein_coding"
"FBgn0001122" "FBgn0001122" 10437985 10465701 "2R" "protein_coding"
"FBgn0001123" "FBgn0001123" 23942538 23946936 "2R" "protein_coding"
"FBgn0001124" "FBgn0001124" 16138352 16141928 "2R" "protein_coding"
"FBgn0001125" "FBgn0001125" 1984512 1987758 "2L" "protein_coding"
"FBgn0001128" "FBgn0001128" 5943643 5948968 "2L" "protein_coding"
"FBgn0001133" "FBgn0001133" 21009764 21011921 "2R" "protein_coding"
"FBgn0001134" "FBgn0001134" 17823333 17839767 "3L" "protein_coding"
"FBgn0001137" "FBgn0001137" 8431086 8433598 "2L" "protein_coding"
"FBgn0001138" "FBgn0001138" 8147368 8181444 "3R" "protein_coding"
"FBgn0001139" "FBgn0001139" 26041736 26049911 "3R" "protein_coding"
"FBgn0001142" "FBgn0001142" 132077 134472 "2L" "protein_coding"
"FBgn0001145" "FBgn0001145" 11422832 11430197 "X" "protein_coding"
"FBgn0001147" "FBgn0001147" 25040383 25052331 "2R" "protein_coding"
"FBgn0001148" "FBgn0001148" 25061964 25064643 "2R" "protein_coding"
"FBgn0001149" "FBgn0001149" 12367817 12369268 "3R" "protein_coding"
"FBgn0001150" "FBgn0001150" 2427113 2428967 "X" "protein_coding"
"FBgn0001168" "FBgn0001168" 8675759 8679253 "3L" "protein_coding"
"FBgn0001169" "FBgn0001169" 20621938 20628915 "3R" "protein_coding"
"FBgn0001170" "FBgn0001170" 6013059 6019402 "2L" "protein_coding"
"FBgn0001174" "FBgn0001174" 1517533 1518148 "2L" "protein_coding"
"FBgn0001179" "FBgn0001179" 10631079 10633969 "3L" "protein_coding"
"FBgn0001180" "FBgn0001180" 8690980 8697822 "3R" "protein_coding"
"FBgn0001185" "FBgn0001185" 16677185 16679691 "2L" "protein_coding"
"FBgn0001186" "FBgn0001186" 9585675 9589813 "X" "protein_coding"
"FBgn0001187" "FBgn0001187" 15218837 15220329 "2R" "protein_coding"
"FBgn0001189" "FBgn0001189" 1669570 1673608 "X" "protein_coding"
"FBgn0001197" "FBgn0001197" 26866929 26869220 "3R" "protein_coding"
"FBgn0001202" "FBgn0001202" 19030844 19033498 "2L" "protein_coding"
"FBgn0001206" "FBgn0001206" 10590920 10595855 "X" "protein_coding"
"FBgn0001208" "FBgn0001208" 7760453 7763166 "3L" "protein_coding"
"FBgn0001215" "FBgn0001215" 28599834 28605777 "3R" "protein_coding"
"FBgn0001216" "FBgn0001216" 13974061 13977761 "3L" "protein_coding"
"FBgn0001217" "FBgn0001217" 13044759 13047388 "3R" "protein_coding"
"FBgn0001218" "FBgn0001218" 11801696 11807117 "X" "protein_coding"
"FBgn0001220" "FBgn0001220" 14252598 14256192 "2R" "protein_coding"
"FBgn0001222" "FBgn0001222" 18130303 18134634 "2R" "protein_coding"
"FBgn0001223" "FBgn0001223" 9372931 9374964 "3L" "protein_coding"
"FBgn0001224" "FBgn0001224" 9381882 9382765 "3L" "protein_coding"
"FBgn0001225" "FBgn0001225" 9376418 9377427 "3L" "protein_coding"
"FBgn0001226" "FBgn0001226" 9384063 9385694 "3L" "protein_coding"
"FBgn0001227" "FBgn0001227" 9377802 9379534 "3L" "protein_coding"
"FBgn0001228" "FBgn0001228" 9372722 9374964 "3L" "protein_coding"
"FBgn0001229" "FBgn0001229" 9371511 9372497 "3L" "protein_coding"
"FBgn0001230" "FBgn0001230" 24055080 24057310 "3R" "protein_coding"
"FBgn0001233" "FBgn0001233" 3192969 3197059 "3L" "protein_coding"
"FBgn0001235" "FBgn0001235" 10507561 10639568 "3R" "protein_coding"
"FBgn0001247" "FBgn0001247" 20371672 20375896 "3L" "protein_coding"
"FBgn0001248" "FBgn0001248" 8356404 8360906 "3L" "protein_coding"
"FBgn0001250" "FBgn0001250" 16752189 16783434 "X" "protein_coding"
"FBgn0001253" "FBgn0001253" 8372405 8391171 "3L" "protein_coding"
"FBgn0001254" "FBgn0001254" 3510974 3512681 "3L" "protein_coding"
"FBgn0001255" "FBgn0001255" 8028453 8029546 "3R" "protein_coding"
"FBgn0001256" "FBgn0001256" 13382765 13383999 "3L" "protein_coding"
"FBgn0001257" "FBgn0001257" 4224006 4236147 "3L" "protein_coding"
"FBgn0001258" "FBgn0001258" 6259105 6262694 "3L" "protein_coding"
"FBgn0001259" "FBgn0001259" 20367198 20370259 "3L" "protein_coding"
"FBgn0001263" "FBgn0001263" 22855688 22858794 "2R" "protein_coding"
"FBgn0001269" "FBgn0001269" 11474465 11509695 "2R" "protein_coding"
"FBgn0001276" "FBgn0001276" 11359437 11360163 "2R" "protein_coding"
"FBgn0001280" "FBgn0001280" 30038622 30039533 "3R" "protein_coding"
"FBgn0001281" "FBgn0001281" 30037984 30038728 "3R" "protein_coding"
"FBgn0001285" "FBgn0001285" 8691448 8692844 "2R" "protein_coding"
"FBgn0001291" "FBgn0001291" 10096480 10098556 "2R" "protein_coding"
"FBgn0001296" "FBgn0001296" 12682186 12689367 "3R" "protein_coding"
"FBgn0001297" "FBgn0001297" 29765995 29794113 "3R" "protein_coding"
"FBgn0001301" "FBgn0001301" 18129884 18138083 "2L" "protein_coding"
"FBgn0001308" "FBgn0001308" 16266960 16271971 "2R" "protein_coding"
"FBgn0001311" "FBgn0001311" 5378093 5392866 "3R" "protein_coding"
"FBgn0001313" "FBgn0001313" 573088 664173 "Y" "protein_coding"
"FBgn0001316" "FBgn0001316" 434083 540614 "3L" "protein_coding"
"FBgn0001319" "FBgn0001319" 14772650 14807061 "2R" "protein_coding"
"FBgn0001320" "FBgn0001320" 20692330 20695378 "3L" "protein_coding"
"FBgn0001321" "FBgn0001321" 10122365 10125664 "3R" "protein_coding"
"FBgn0001323" "FBgn0001323" 20597141 20620659 "3L" "protein_coding"
"FBgn0001324" "FBgn0001324" 19836614 19844944 "3L" "protein_coding"
"FBgn0001325" "FBgn0001325" 25226611 25231394 "2R" "protein_coding"
"FBgn0001330" "FBgn0001330" 2237858 2242035 "X" "protein_coding"
"FBgn0001341" "FBgn0001341" 629773 633633 "X" "protein_coding"
"FBgn0001404" "FBgn0001404" 2588503 2599111 "X" "protein_coding"
"FBgn0001491" "FBgn0001491" 11324294 11325308 "X" "protein_coding"
"FBgn0001565" "FBgn0001565" 21385518 21387946 "X" "protein_coding"
"FBgn0001612" "FBgn0001612" 13736570 13744683 "X" "protein_coding"
"FBgn0001624" "FBgn0001624" 11369665 11409776 "X" "protein_coding"
"FBgn0001941" "FBgn0001941" 5986348 5988854 "2L" "protein_coding"
"FBgn0001942" "FBgn0001942" 5981764 5985909 "2L" "protein_coding"
"FBgn0001961" "FBgn0001961" 13827941 13829741 "2L" "protein_coding"
"FBgn0001965" "FBgn0001965" 13813816 13819824 "2L" "protein_coding"
"FBgn0001967" "FBgn0001967" 14019357 14020208 "2L" "protein_coding"
"FBgn0001970" "FBgn0001970" 14359252 14361411 "2L" "protein_coding"
"FBgn0001977" "FBgn0001977" 15036293 15038861 "2L" "protein_coding"
"FBgn0001978" "FBgn0001978" 15113480 15118069 "2L" "protein_coding"
"FBgn0001981" "FBgn0001981" 15333866 15336138 "2L" "protein_coding"
"FBgn0001983" "FBgn0001983" 15423297 15425580 "2L" "protein_coding"
"FBgn0001986" "FBgn0001986" 15752263 15755900 "2L" "protein_coding"
"FBgn0001987" "FBgn0001987" 15756002 15762758 "2L" "protein_coding"
"FBgn0001989" "FBgn0001989" 15749319 15751078 "2L" "protein_coding"
"FBgn0001990" "FBgn0001990" 15766133 15768349 "2L" "protein_coding"
"FBgn0001991" "FBgn0001991" 16165831 16190540 "2L" "protein_coding"
"FBgn0001992" "FBgn0001992" 16294183 16296969 "2L" "protein_coding"
"FBgn0001994" "FBgn0001994" 16263556 16287730 "2L" "protein_coding"
"FBgn0001995" "FBgn0001995" 16328059 16329132 "2L" "protein_coding"
"FBgn0002021" "FBgn0002021" 19049843 19051612 "2L" "protein_coding"
"FBgn0002022" "FBgn0002022" 19041862 19043614 "2L" "protein_coding"
"FBgn0002023" "FBgn0002023" 19079256 19108427 "2L" "protein_coding"
"FBgn0002031" "FBgn0002031" 19121345 19123869 "2L" "protein_coding"
"FBgn0002036" "FBgn0002036" 19114401 19116570 "2L" "protein_coding"
"FBgn0002044" "FBgn0002044" 19493251 19497978 "2L" "protein_coding"
"FBgn0002069" "FBgn0002069" 12877004 12883168 "2R" "protein_coding"
"FBgn0002121" "FBgn0002121" 9839 21376 "2L" "protein_coding"
"FBgn0002174" "FBgn0002174" 23706913 23709026 "2R" "protein_coding"
"FBgn0002183" "FBgn0002183" 1871574 1876312 "3L" "protein_coding"
"FBgn0002283" "FBgn0002283" 16588475 16590132 "3L" "protein_coding"
"FBgn0002284" "FBgn0002284" 16609400 16610418 "3L" "protein_coding"
"FBgn0002306" "FBgn0002306" 7162808 7183702 "3R" "protein_coding"
"FBgn0002354" "FBgn0002354" 13030913 13031598 "3R" "protein_coding"
"FBgn0002413" "FBgn0002413" 31054085 31061210 "3R" "protein_coding"
"FBgn0002431" "FBgn0002431" 9714623 9725615 "3R" "protein_coding"
