"flybase_gene_id" "start_position" "end_position" "chromosome_name" "gene_biotype"
"FBgn0000492" "FBgn0000492" 29556386 29565244 "3R" "protein_coding"
"FBgn0000527" "FBgn0000527" 21229839 21237177 "3R" "protein_coding"
"FBgn0000533" "FBgn0000533" 15328729 15330408 "3R" "protein_coding"
"FBgn0000541" "FBgn0000541" 233926 246912 "3L" "protein_coding"
"FBgn0000543" "FBgn0000543" 2263581 2265857 "3L" "protein_coding"
"FBgn0000546" "FBgn0000546" 6087873 6169087 "2R" "protein_coding"
"FBgn0000547" "FBgn0000547" 4031377 4115749 "2L" "protein_coding"
"FBgn0000559" "FBgn0000559" 21677913 21682164 "2L" "protein_coding"
"FBgn0000562" "FBgn0000562" 23734904 23746829 "2R" "protein_coding"
"FBgn0000565" "FBgn0000565" 15511052 15513202 "3L" "protein_coding"
"FBgn0000566" "FBgn0000566" 18627918 18629395 "2R" "protein_coding"
"FBgn0000567" "FBgn0000567" 17558672 17619325 "3L" "protein_coding"
"FBgn0000568" "FBgn0000568" 17950953 18064696 "3L" "protein_coding"
"FBgn0000575" "FBgn0000575" 749400 753492 "3L" "protein_coding"
"FBgn0000578" "FBgn0000578" 19141632 19163705 "2R" "protein_coding"
"FBgn0000579" "FBgn0000579" 1724768 1729636 "2L" "protein_coding"
"FBgn0000581" "FBgn0000581" 11452043 11465270 "2R" "protein_coding"
"FBgn0000588" "FBgn0000588" 11827204 11829405 "2L" "protein_coding"
"FBgn0000592" "FBgn0000592" 12188818 12190705 "3L" "protein_coding"
"FBgn0000625" "FBgn0000625" 12462537 12468021 "3L" "protein_coding"
"FBgn0000629" "FBgn0000629" 10634575 10638130 "3L" "protein_coding"
"FBgn0000636" "FBgn0000636" 18320102 18393441 "2L" "protein_coding"
"FBgn0000639" "FBgn0000639" 14094589 14098053 "3L" "protein_coding"
"FBgn0000640" "FBgn0000640" 9426784 9427917 "2L" "protein_coding"
"FBgn0000659" "FBgn0000659" 28580976 28585264 "3R" "protein_coding"
"FBgn0000662" "FBgn0000662" 13819624 13824553 "2R" "protein_coding"
"FBgn0000721" "FBgn0000721" 3622074 3656953 "2L" "protein_coding"
"FBgn0000723" "FBgn0000723" 9367603 9394546 "3R" "protein_coding"
"FBgn0000996" "FBgn0000996" 15376619 15380988 "2R" "protein_coding"
"FBgn0001078" "FBgn0001078" 18750607 18801309 "3L" "protein_coding"
"FBgn0001084" "FBgn0001084" 8401476 8403280 "2L" "protein_coding"
"FBgn0001091" "FBgn0001091" 7791901 7793380 "2R" "protein_coding"
"FBgn0001098" "FBgn0001098" 23935958 23943101 "3R" "protein_coding"
"FBgn0001099" "FBgn0001099" 15509445 15511047 "3L" "protein_coding"
"FBgn0001104" "FBgn0001104" 6972750 6980044 "3L" "protein_coding"
"FBgn0001108" "FBgn0001108" 13929387 13934656 "3L" "protein_coding"
"FBgn0001112" "FBgn0001112" 7252063 7265703 "3R" "protein_coding"
"FBgn0001114" "FBgn0001114" 8672698 8676804 "2L" "protein_coding"
"FBgn0001122" "FBgn0001122" 10437985 10465701 "2R" "protein_coding"
"FBgn0001123" "FBgn0001123" 23942538 23946936 "2R" "protein_coding"
"FBgn0001124" "FBgn0001124" 16138352 16141928 "2R" "protein_coding"
"FBgn0001125" "FBgn0001125" 1984512 1987758 "2L" "protein_coding"
"FBgn0001128" "FBgn0001128" 5943643 5948968 "2L" "protein_coding"
"FBgn0001133" "FBgn0001133" 21009764 21011921 "2R" "protein_coding"
"FBgn0001137" "FBgn0001137" 8431086 8433598 "2L" "protein_coding"
"FBgn0001139" "FBgn0001139" 26041736 26049911 "3R" "protein_coding"
"FBgn0001142" "FBgn0001142" 132077 134472 "2L" "protein_coding"
"FBgn0001149" "FBgn0001149" 12367817 12369268 "3R" "protein_coding"
"FBgn0001168" "FBgn0001168" 8675759 8679253 "3L" "protein_coding"
"FBgn0001169" "FBgn0001169" 20621938 20628915 "3R" "protein_coding"
"FBgn0001179" "FBgn0001179" 10631079 10633969 "3L" "protein_coding"
"FBgn0001185" "FBgn0001185" 16677185 16679691 "2L" "protein_coding"
"FBgn0001197" "FBgn0001197" 26866929 26869220 "3R" "protein_coding"
"FBgn0001202" "FBgn0001202" 19030844 19033498 "2L" "protein_coding"
"FBgn0001208" "FBgn0001208" 7760453 7763166 "3L" "protein_coding"
"FBgn0001215" "FBgn0001215" 28599834 28605777 "3R" "protein_coding"
"FBgn0001220" "FBgn0001220" 14252598 14256192 "2R" "protein_coding"
"FBgn0001222" "FBgn0001222" 18130303 18134634 "2R" "protein_coding"
"FBgn0001223" "FBgn0001223" 9372931 9374964 "3L" "protein_coding"
"FBgn0001224" "FBgn0001224" 9381882 9382765 "3L" "protein_coding"
"FBgn0001225" "FBgn0001225" 9376418 9377427 "3L" "protein_coding"
"FBgn0001226" "FBgn0001226" 9384063 9385694 "3L" "protein_coding"
"FBgn0001227" "FBgn0001227" 9377802 9379534 "3L" "protein_coding"
"FBgn0001228" "FBgn0001228" 9372722 9374964 "3L" "protein_coding"
"FBgn0001229" "FBgn0001229" 9371511 9372497 "3L" "protein_coding"
"FBgn0001230" "FBgn0001230" 24055080 24057310 "3R" "protein_coding"
"FBgn0001233" "FBgn0001233" 3192969 3197059 "3L" "protein_coding"
"FBgn0001247" "FBgn0001247" 20371672 20375896 "3L" "protein_coding"
"FBgn0001248" "FBgn0001248" 8356404 8360906 "3L" "protein_coding"
"FBgn0001257" "FBgn0001257" 4224006 4236147 "3L" "protein_coding"
"FBgn0001258" "FBgn0001258" 6259105 6262694 "3L" "protein_coding"
"FBgn0001263" "FBgn0001263" 22855688 22858794 "2R" "protein_coding"
"FBgn0001269" "FBgn0001269" 11474465 11509695 "2R" "protein_coding"
"FBgn0001276" "FBgn0001276" 11359437 11360163 "2R" "protein_coding"
"FBgn0001280" "FBgn0001280" 30038622 30039533 "3R" "protein_coding"
"FBgn0001291" "FBgn0001291" 10096480 10098556 "2R" "protein_coding"
"FBgn0001296" "FBgn0001296" 12682186 12689367 "3R" "protein_coding"
"FBgn0001297" "FBgn0001297" 29765995 29794113 "3R" "protein_coding"
"FBgn0001301" "FBgn0001301" 18129884 18138083 "2L" "protein_coding"
"FBgn0001308" "FBgn0001308" 16266960 16271971 "2R" "protein_coding"
"FBgn0001316" "FBgn0001316" 434083 540614 "3L" "protein_coding"
"FBgn0001324" "FBgn0001324" 19836614 19844944 "3L" "protein_coding"
"FBgn0001325" "FBgn0001325" 25226611 25231394 "2R" "protein_coding"
"FBgn0001941" "FBgn0001941" 5986348 5988854 "2L" "protein_coding"
"FBgn0001942" "FBgn0001942" 5981764 5985909 "2L" "protein_coding"
"FBgn0001961" "FBgn0001961" 13827941 13829741 "2L" "protein_coding"
"FBgn0001965" "FBgn0001965" 13813816 13819824 "2L" "protein_coding"
"FBgn0001970" "FBgn0001970" 14359252 14361411 "2L" "protein_coding"
"FBgn0001977" "FBgn0001977" 15036293 15038861 "2L" "protein_coding"
"FBgn0001978" "FBgn0001978" 15113480 15118069 "2L" "protein_coding"
"FBgn0001986" "FBgn0001986" 15752263 15755900 "2L" "protein_coding"
"FBgn0001987" "FBgn0001987" 15756002 15762758 "2L" "protein_coding"
"FBgn0001989" "FBgn0001989" 15749319 15751078 "2L" "protein_coding"
"FBgn0001990" "FBgn0001990" 15766133 15768349 "2L" "protein_coding"
"FBgn0001992" "FBgn0001992" 16294183 16296969 "2L" "protein_coding"
"FBgn0001994" "FBgn0001994" 16263556 16287730 "2L" "protein_coding"
"FBgn0001995" "FBgn0001995" 16328059 16329132 "2L" "protein_coding"
"FBgn0002021" "FBgn0002021" 19049843 19051612 "2L" "protein_coding"
"FBgn0002022" "FBgn0002022" 19041862 19043614 "2L" "protein_coding"
"FBgn0002031" "FBgn0002031" 19121345 19123869 "2L" "protein_coding"
"FBgn0002036" "FBgn0002036" 19114401 19116570 "2L" "protein_coding"
"FBgn0002044" "FBgn0002044" 19493251 19497978 "2L" "protein_coding"
"FBgn0002069" "FBgn0002069" 12877004 12883168 "2R" "protein_coding"
"FBgn0002121" "FBgn0002121" 9839 21376 "2L" "protein_coding"
"FBgn0002174" "FBgn0002174" 23706913 23709026 "2R" "protein_coding"
"FBgn0002183" "FBgn0002183" 1871574 1876312 "3L" "protein_coding"
"FBgn0002283" "FBgn0002283" 16588475 16590132 "3L" "protein_coding"
"FBgn0002284" "FBgn0002284" 16609400 16610418 "3L" "protein_coding"
"FBgn0002306" "FBgn0002306" 7162808 7183702 "3R" "protein_coding"
"FBgn0002354" "FBgn0002354" 13030913 13031598 "3R" "protein_coding"
"FBgn0002413" "FBgn0002413" 31054085 31061210 "3R" "protein_coding"
"FBgn0002431" "FBgn0002431" 9714623 9725615 "3R" "protein_coding"
"FBgn0002441" "FBgn0002441" 27266326 27273273 "3R" "protein_coding"
"FBgn0002521" "FBgn0002521" 1172469 1181628 "4" "protein_coding"
"FBgn0002524" "FBgn0002524" 15499127 15505018 "2L" "protein_coding"
"FBgn0002525" "FBgn0002525" 5542480 5546642 "2L" "protein_coding"
"FBgn0002526" "FBgn0002526" 6203831 6218022 "3L" "protein_coding"
"FBgn0002531" "FBgn0002531" 8430115 8431243 "2R" "protein_coding"
"FBgn0002533" "FBgn0002533" 8433797 8434785 "2R" "protein_coding"
"FBgn0002535" "FBgn0002535" 8437647 8438495 "2R" "protein_coding"
"FBgn0002542" "FBgn0002542" 7920431 7924491 "3R" "protein_coding"
"FBgn0002552" "FBgn0002552" 8914524 8918234 "2R" "protein_coding"
"FBgn0002563" "FBgn0002563" 898500 901316 "2L" "protein_coding"
"FBgn0002564" "FBgn0002564" 66430 68995 "3L" "protein_coding"
"FBgn0002565" "FBgn0002565" 12129393 12131869 "3L" "protein_coding"
"FBgn0002566" "FBgn0002566" 22924795 22943135 "2L" "protein_coding"
"FBgn0002567" "FBgn0002567" 9177864 9186342 "2R" "protein_coding"
"FBgn0002573" "FBgn0002573" 13396228 13401125 "3L" "protein_coding"
"FBgn0002593" "FBgn0002593" 419952 420864 "2L" "protein_coding"
"FBgn0002622" "FBgn0002622" 23358812 23360207 "3R" "protein_coding"
"FBgn0002626" "FBgn0002626" 30045229 30046161 "3R" "protein_coding"
"FBgn0002638" "FBgn0002638" 5930262 5932773 "3L" "protein_coding"
"FBgn0002643" "FBgn0002643" 13991203 14060356 "2R" "protein_coding"
"FBgn0002645" "FBgn0002645" 32055279 32068441 "3R" "protein_coding"
"FBgn0002715" "FBgn0002715" 22122101 22124566 "2R" "protein_coding"
"FBgn0002719" "FBgn0002719" 12713103 12722442 "3R" "protein_coding"
"FBgn0002733" "FBgn0002733" 26005046 26006023 "3R" "protein_coding"
"FBgn0002736" "FBgn0002736" 21128577 21129737 "2R" "protein_coding"
"FBgn0002772" "FBgn0002772" 27657078 27660177 "3R" "protein_coding"
"FBgn0002773" "FBgn0002773" 30171438 30174551 "3R" "protein_coding"
"FBgn0002774" "FBgn0002774" 5974857 5980778 "2R" "protein_coding"
"FBgn0002775" "FBgn0002775" 7123213 7125533 "3L" "protein_coding"
"FBgn0002778" "FBgn0002778" 14985100 14991667 "3L" "protein_coding"
"FBgn0002780" "FBgn0002780" 32052060 32054974 "3R" "protein_coding"
"FBgn0002781" "FBgn0002781" 21350846 21377401 "3R" "protein_coding"
"FBgn0002783" "FBgn0002783" 15968134 15972913 "3R" "protein_coding"
"FBgn0002787" "FBgn0002787" 24400028 24404527 "2R" "protein_coding"
"FBgn0002789" "FBgn0002789" 13246670 13248880 "2R" "protein_coding"
"FBgn0002791" "FBgn0002791" 23972431 23975408 "2R" "protein_coding"
"FBgn0002868" "FBgn0002868" 9783407 9784370 "3R" "protein_coding"
"FBgn0002872" "FBgn0002872" 1942734 1947475 "3L" "protein_coding"
"FBgn0002887" "FBgn0002887" 8438169 8442342 "2L" "protein_coding"
"FBgn0002891" "FBgn0002891" 7793625 7801044 "2R" "protein_coding"
"FBgn0002899" "FBgn0002899" 8137808 8142014 "3L" "protein_coding"
"FBgn0002901" "FBgn0002901" 18109814 18112847 "3L" "protein_coding"
"FBgn0002905" "FBgn0002905" 12705523 12712299 "3R" "protein_coding"
"FBgn0002909" "FBgn0002909" 7329132 7333471 "3L" "protein_coding"
"FBgn0002921" "FBgn0002921" 20948714 20976239 "3R" "protein_coding"
"FBgn0002924" "FBgn0002924" 29804290 29807127 "3R" "protein_coding"
"FBgn0002930" "FBgn0002930" 7156477 7158241 "2R" "protein_coding"
"FBgn0002931" "FBgn0002931" 82421 87387 "2L" "protein_coding"
"FBgn0002932" "FBgn0002932" 9020348 9039471 "3R" "protein_coding"
"FBgn0002945" "FBgn0002945" 19003741 19045449 "3L" "protein_coding"
"FBgn0002973" "FBgn0002973" 9437469 9464184 "2L" "protein_coding"
"FBgn0002989" "FBgn0002989" 2989594 2992759 "2L" "protein_coding"
"FBgn0003008" "FBgn0003008" 23967939 23968943 "2R" "protein_coding"
"FBgn0003016" "FBgn0003016" 14599196 14689340 "2L" "protein_coding"
"FBgn0003041" "FBgn0003041" 7896109 7911954 "3L" "protein_coding"
"FBgn0003042" "FBgn0003042" 21306138 21318020 "3L" "protein_coding"
"FBgn0003044" "FBgn0003044" 18135426 18139990 "2R" "protein_coding"
"FBgn0003060" "FBgn0003060" 13611583 13612433 "3R" "protein_coding"
"FBgn0003062" "FBgn0003062" 23072909 23074725 "2R" "protein_coding"
"FBgn0003067" "FBgn0003067" 18536767 18539416 "2R" "protein_coding"
"FBgn0003071" "FBgn0003071" 10109740 10117457 "2R" "protein_coding"
"FBgn0003074" "FBgn0003074" 8910900 8914069 "2R" "protein_coding"
"FBgn0003076" "FBgn0003076" 16126018 16128531 "3L" "protein_coding"
"FBgn0003082" "FBgn0003082" 7825289 7827319 "2R" "protein_coding"
"FBgn0003089" "FBgn0003089" 19298623 19337609 "3L" "protein_coding"
"FBgn0003091" "FBgn0003091" 16924655 16945126 "2R" "protein_coding"
"FBgn0003093" "FBgn0003093" 29039156 29049148 "3R" "protein_coding"
"FBgn0003118" "FBgn0003118" 23290231 23346167 "3R" "protein_coding"
"FBgn0003124" "FBgn0003124" 20309654 20313466 "3L" "protein_coding"
"FBgn0003134" "FBgn0003134" 24518270 24522331 "3R" "protein_coding"
"FBgn0003137" "FBgn0003137" 28520665 28540324 "3R" "protein_coding"
"FBgn0003141" "FBgn0003141" 20073719 20075458 "2L" "protein_coding"
"FBgn0003149" "FBgn0003149" 8732858 8745310 "3L" "protein_coding"
"FBgn0003162" "FBgn0003162" 21175315 21182608 "2R" "protein_coding"
"FBgn0003165" "FBgn0003165" 9066343 9237682 "3R" "protein_coding"
"FBgn0003169" "FBgn0003169" 14619030 14625703 "3R" "protein_coding"
"FBgn0003174" "FBgn0003174" 7282572 7300806 "2R" "protein_coding"
"FBgn0003175" "FBgn0003175" 22494297 22562065 "2R" "protein_coding"
"FBgn0003205" "FBgn0003205" 9510561 9513067 "3R" "protein_coding"
"FBgn0003206" "FBgn0003206" 4139076 4141398 "3L" "protein_coding"
"FBgn0003209" "FBgn0003209" 8709880 8740660 "2L" "protein_coding"
"FBgn0003231" "FBgn0003231" 19542468 19545548 "2L" "protein_coding"
"FBgn0003256" "FBgn0003256" 1071462 1125927 "2R" "protein_coding"
"FBgn0003257" "FBgn0003257" 21070557 21073319 "3R" "protein_coding"
"FBgn0003261" "FBgn0003261" 6000426 6008579 "3R" "protein_coding"
"FBgn0003274" "FBgn0003274" 16586129 16586732 "2R" "protein_coding"
"FBgn0003275" "FBgn0003275" 5371795 5372397 "3R" "protein_coding"
"FBgn0003278" "FBgn0003278" 404285 407969 "2L" "protein_coding"
"FBgn0003279" "FBgn0003279" 27922821 27924888 "3R" "protein_coding"
"FBgn0003292" "FBgn0003292" 11584122 11587770 "3L" "protein_coding"
"FBgn0003308" "FBgn0003308" 13032528 13038020 "3R" "protein_coding"
"FBgn0003310" "FBgn0003310" 1049674 1077815 "2L" "protein_coding"
"FBgn0003317" "FBgn0003317" 7806484 7810067 "2R" "protein_coding"
"FBgn0003330" "FBgn0003330" 27680431 27682029 "3R" "protein_coding"
"FBgn0003334" "FBgn0003334" 9633359 9637611 "3R" "protein_coding"
"FBgn0003339" "FBgn0003339" 6823120 6849981 "3R" "protein_coding"
"FBgn0003346" "FBgn0003346" 19441959 19447317 "2L" "protein_coding"
"FBgn0003353" "FBgn0003353" 24047411 24053035 "2R" "protein_coding"
"FBgn0003357" "FBgn0003357" 29922216 29923455 "3R" "protein_coding"
"FBgn0003372" "FBgn0003372" 4937409 4941423 "2L" "protein_coding"
"FBgn0003373" "FBgn0003373" 11512221 11513402 "3L" "protein_coding"
"FBgn0003375" "FBgn0003375" 17595362 17596112 "3R" "protein_coding"
"FBgn0003377" "FBgn0003377" 11509861 11510247 "3L" "protein_coding"
"FBgn0003378" "FBgn0003378" 11508967 11509394 "3L" "protein_coding"
"FBgn0003388" "FBgn0003388" 14614458 14622205 "3L" "protein_coding"
"FBgn0003391" "FBgn0003391" 21049654 21057197 "2R" "protein_coding"
"FBgn0003396" "FBgn0003396" 11159086 11217394 "2R" "protein_coding"
"FBgn0003401" "FBgn0003401" 23841461 23843286 "2R" "protein_coding"
"FBgn0003410" "FBgn0003410" 16853751 16858712 "3L" "protein_coding"
"FBgn0003415" "FBgn0003415" 20992814 21027434 "3L" "protein_coding"
"FBgn0003435" "FBgn0003435" 19517864 19631508 "2R" "protein_coding"
"FBgn0003444" "FBgn0003444" 277582 282167 "2L" "protein_coding"
"FBgn0003459" "FBgn0003459" 14402930 14409939 "3L" "protein_coding"
"FBgn0003462" "FBgn0003462" 11112281 11113740 "3L" "protein_coding"
"FBgn0003475" "FBgn0003475" 20311219 20348386 "2L" "protein_coding"
"FBgn0003479" "FBgn0003479" 30054696 30056037 "3R" "protein_coding"
"FBgn0003480" "FBgn0003480" 14328051 14329608 "3R" "protein_coding"
"FBgn0003495" "FBgn0003495" 27064990 27070070 "3R" "protein_coding"
"FBgn0003502" "FBgn0003502" 8258373 8301079 "2L" "protein_coding"
"FBgn0003507" "FBgn0003507" 15986152 16004085 "3R" "protein_coding"
"FBgn0003511" "FBgn0003511" 30039719 30043071 "3R" "protein_coding"
"FBgn0003512" "FBgn0003512" 30043341 30044886 "3R" "protein_coding"
"FBgn0003520" "FBgn0003520" 18117896 18125779 "2R" "protein_coding"
"FBgn0003557" "FBgn0003557" 2037714 2044372 "2L" "protein_coding"
"FBgn0003567" "FBgn0003567" 14304455 14308589 "3R" "protein_coding"
"FBgn0003598" "FBgn0003598" 13264364 13270038 "3R" "protein_coding"
"FBgn0003607" "FBgn0003607" 8209626 8211122 "2L" "protein_coding"
"FBgn0003612" "FBgn0003612" 9116122 9122000 "2R" "protein_coding"
"FBgn0003651" "FBgn0003651" 12258737 12302785 "3R" "protein_coding"
"FBgn0003660" "FBgn0003660" 10249435 10252417 "2R" "protein_coding"
"FBgn0003676" "FBgn0003676" 22489105 22491439 "3R" "protein_coding"
"FBgn0003687" "FBgn0003687" 21686192 21687642 "2R" "protein_coding"
"FBgn0003716" "FBgn0003716" 5219000 5271384 "2L" "protein_coding"
"FBgn0003721" "FBgn0003721" 15278220 15308779 "3R" "protein_coding"
"FBgn0003731" "FBgn0003731" 21522420 21559977 "2R" "protein_coding"
"FBgn0003741" "FBgn0003741" 16590059 16591050 "3L" "protein_coding"
"FBgn0003742" "FBgn0003742" 14602004 14604337 "2R" "protein_coding"
"FBgn0003744" "FBgn0003744" 19830864 19834304 "3L" "protein_coding"
"FBgn0003748" "FBgn0003748" 21074018 21088945 "2R" "protein_coding"
"FBgn0003862" "FBgn0003862" 14263358 14286903 "3R" "protein_coding"
"FBgn0003867" "FBgn0003867" 21778114 21782536 "3R" "protein_coding"
"FBgn0003870" "FBgn0003870" 31713867 31735392 "3R" "protein_coding"
"FBgn0003882" "FBgn0003882" 4387742 4389813 "3R" "protein_coding"
"FBgn0003884" "FBgn0003884" 7086599 7088839 "3R" "protein_coding"
"FBgn0003885" "FBgn0003885" 7530753 7532732 "3R" "protein_coding"
"FBgn0003888" "FBgn0003888" 24305881 24313099 "2R" "protein_coding"
"FBgn0003890" "FBgn0003890" 27967008 27988384 "3R" "protein_coding"
"FBgn0003891" "FBgn0003891" 21183322 21192913 "2R" "protein_coding"
"FBgn0003892" "FBgn0003892" 8649649 8665223 "2R" "protein_coding"
"FBgn0003896" "FBgn0003896" 18859507 18881261 "2L" "protein_coding"
"FBgn0003941" "FBgn0003941" 4227699 4228561 "2L" "protein_coding"
"FBgn0003942" "FBgn0003942" 10408352 10410456 "2L" "protein_coding"
"FBgn0003943" "FBgn0003943" 3899259 3903184 "3L" "protein_coding"
"FBgn0003963" "FBgn0003963" 476220 540560 "2L" "protein_coding"
"FBgn0003977" "FBgn0003977" 23360192 23366355 "2R" "protein_coding"
"FBgn0003978" "FBgn0003978" 20064261 20065679 "2L" "protein_coding"
"FBgn0003984" "FBgn0003984" 5813338 5845664 "3L" "protein_coding"
"FBgn0003997" "FBgn0003997" 18167745 18185641 "3L" "protein_coding"
"FBgn0004003" "FBgn0004003" 19249395 19250917 "2R" "protein_coding"
"FBgn0004049" "FBgn0004049" 13428867 13434984 "3R" "protein_coding"
"FBgn0004055" "FBgn0004055" 25012062 25031737 "2R" "protein_coding"
"FBgn0004087" "FBgn0004087" 16481167 16481878 "3R" "protein_coding"
"FBgn0004101" "FBgn0004101" 24342861 24376473 "2R" "protein_coding"
"FBgn0004103" "FBgn0004103" 12423621 12425917 "3R" "protein_coding"
"FBgn0004107" "FBgn0004107" 20735623 20738414 "3R" "protein_coding"
"FBgn0004117" "FBgn0004117" 15310193 15315197 "3R" "protein_coding"
"FBgn0004132" "FBgn0004132" 7565873 7566738 "2R" "protein_coding"
"FBgn0004133" "FBgn0004133" 7580488 7587079 "2R" "protein_coding"
"FBgn0004167" "FBgn0004167" 3336860 3368133 "3L" "protein_coding"
"FBgn0004177" "FBgn0004177" 7827650 7833576 "2L" "protein_coding"
"FBgn0004179" "FBgn0004179" 22267382 22273745 "3L" "protein_coding"
"FBgn0004197" "FBgn0004197" 27172090 27194267 "3R" "protein_coding"
"FBgn0004237" "FBgn0004237" 13656846 13660531 "3R" "protein_coding"
"FBgn0004240" "FBgn0004240" 18865765 18866260 "2R" "protein_coding"
"FBgn0004242" "FBgn0004242" 2772327 2799979 "2L" "protein_coding"
"FBgn0004362" "FBgn0004362" 21701458 21716727 "2R" "protein_coding"
